trial,accuracy,r_type,mean,md,P_25,P_75,IQR,sd,min,max
stop-left,correct,unimanual,0.8102271343698525,0.8002263006437715,0.7159352157175363,0.8952787758221916,0.17934356010465535,0.13433980854011301,0.46656736127624754,1.2390660727833165
stop-left,error,bimanual,0.5703136927551614,0.5550272514228709,0.5056746759037196,0.6089621661560898,0.10328749025237016,0.10476968940354696,0.34538407949730754,1.1894284088230052
stop-left,error,unimanual,0.8156659960029703,0.8275924296289077,0.7086954491032884,0.911643846177185,0.20294839707389656,0.1532220275017375,0.46794866884010844,1.1927377189713297
stop-right,correct,unimanual,0.8472078473300998,0.8377829307719367,0.7438450624395045,0.9409114871136808,0.19706642467417623,0.14386864756682283,0.4827367543548462,1.2161682987207314
stop-right,error,bimanual,0.5707102379666631,0.5534623722014658,0.5035096182203915,0.6131309902921203,0.10962137207172873,0.10893225241927074,0.26612892985303915,1.1810052506962165
stop-right,error,unimanual,0.8176336017942941,0.8194732031033709,0.707444885023051,0.9200704421702994,0.2126255571472484,0.1596510425286078,0.39936278865206987,1.2174953594512772
stop-both,error,bimanual,0.5657486622657812,0.5544392909123417,0.4994551885611145,0.60671947546507,0.10726428690395551,0.10382287387616336,0.3452737046245602,1.1705690611997852
stop-both,error,unimanual,0.7007777152517278,0.6680174349239678,0.5582847672430944,0.8285950928949433,0.27031032565184887,0.1833715251315592,0.18110175751007773,1.1714646671061928
ignore,correct,bimanual,0.6842860702017712,0.6612636583158746,0.5572587032340834,0.7929698838902368,0.23571118065615337,0.16049468080448578,0.36119343638347345,1.2303109412896447
ignore,error,bimanual,0.738306149380652,0.7211615862570397,0.6511838476581033,0.8110454686848243,0.15986162102672097,0.1489739199319068,0.39633104357199045,1.201865736140462
ignore,error,unimanual,0.754640560181785,0.7270682640082669,0.6131191851491167,0.8585510155535303,0.24543183040441363,0.21935185877242447,0.4077462586942602,1.2142812961283198
no-signal,correct,bimanual,0.5897739967665415,0.5782268877956085,0.5258874165392626,0.6381356287565723,0.11224821221730963,0.09789214028992543,0.1686457935393264,1.2151856547989155
no-signal,error,bimanual,0.6115499113448586,0.5829645349476777,0.49859489098054155,0.6981310916062284,0.1995362006256869,0.16282379732638283,0.11832572145021913,1.1438457455301432
no-signal,error,unimanual,0.7138712796099551,0.6291585406288505,0.5508652833532324,0.8361945022226109,0.28532921886937856,0.2289363037872517,0.3827233969623194,1.2180758916656487
