iData,roiFileName,roiHemi,conName,mean_activation
1,IFG,L,stop_as_left_vs_no_signal_slow,1.32500915630506
2,IFG,L,stop_as_left_vs_no_signal_slow,2.31644313323956
3,IFG,L,stop_as_left_vs_no_signal_slow,1.56376782288918
4,IFG,L,stop_as_left_vs_no_signal_slow,-1.0206516453853
5,IFG,L,stop_as_left_vs_no_signal_slow,1.98930712961234
6,IFG,L,stop_as_left_vs_no_signal_slow,-2.42370471129051
7,IFG,L,stop_as_left_vs_no_signal_slow,-1.04327525900534
8,IFG,L,stop_as_left_vs_no_signal_slow,1.15897228282232
9,IFG,L,stop_as_left_vs_no_signal_slow,-0.183727715450984
10,IFG,L,stop_as_left_vs_no_signal_slow,0.101518130073181
11,IFG,L,stop_as_left_vs_no_signal_slow,0.65967370225833
12,IFG,L,stop_as_left_vs_no_signal_slow,1.35919863193368
13,IFG,L,stop_as_left_vs_no_signal_slow,1.00269837562854
14,IFG,L,stop_as_left_vs_no_signal_slow,-1.3146691436951
15,IFG,L,stop_as_left_vs_no_signal_slow,0.628899752520598
16,IFG,L,stop_as_left_vs_no_signal_slow,0.78088669364269
17,IFG,L,stop_as_left_vs_no_signal_slow,-0.142711725085974
18,IFG,L,stop_as_left_vs_no_signal_slow,3.31360084391557
19,IFG,L,stop_as_left_vs_no_signal_slow,0.142935892137197
20,IFG,L,stop_as_left_vs_no_signal_slow,0.226975003114113
21,IFG,L,stop_as_left_vs_no_signal_slow,2.04393198398443
22,IFG,L,stop_as_left_vs_no_signal_slow,-0.942072381766943
23,IFG,L,stop_as_left_vs_no_signal_slow,0.52386108900492
24,IFG,L,stop_as_left_vs_no_signal_slow,-0.281819447588462
25,IFG,L,stop_as_left_vs_no_signal_slow,0.464696056281145
26,IFG,L,stop_as_left_vs_no_signal_slow,0.198535092604848
27,IFG,L,stop_as_left_vs_no_signal_slow,1.91271350762019
28,IFG,L,stop_as_left_vs_no_signal_slow,1.14772885120832
29,IFG,L,stop_as_left_vs_no_signal_slow,1.88439881343108
30,IFG,L,stop_as_left_vs_no_signal_slow,1.80758182131327
1,IFJ,L,stop_as_left_vs_no_signal_slow,4.13279386802956
2,IFJ,L,stop_as_left_vs_no_signal_slow,2.01238419391491
3,IFJ,L,stop_as_left_vs_no_signal_slow,1.1853337806684
4,IFJ,L,stop_as_left_vs_no_signal_slow,1.04553625456713
5,IFJ,L,stop_as_left_vs_no_signal_slow,2.56820672971231
6,IFJ,L,stop_as_left_vs_no_signal_slow,-0.227398684731236
7,IFJ,L,stop_as_left_vs_no_signal_slow,4.03496846004769
8,IFJ,L,stop_as_left_vs_no_signal_slow,2.7501140832901
9,IFJ,L,stop_as_left_vs_no_signal_slow,0.572954354600774
10,IFJ,L,stop_as_left_vs_no_signal_slow,0.94809380946336
11,IFJ,L,stop_as_left_vs_no_signal_slow,1.56463916213424
12,IFJ,L,stop_as_left_vs_no_signal_slow,1.86710912541107
13,IFJ,L,stop_as_left_vs_no_signal_slow,2.23972375635748
14,IFJ,L,stop_as_left_vs_no_signal_slow,1.07744430943772
15,IFJ,L,stop_as_left_vs_no_signal_slow,1.44185017821965
16,IFJ,L,stop_as_left_vs_no_signal_slow,4.39954147956989
17,IFJ,L,stop_as_left_vs_no_signal_slow,1.59948704584881
18,IFJ,L,stop_as_left_vs_no_signal_slow,2.782718869823
19,IFJ,L,stop_as_left_vs_no_signal_slow,1.04022320497919
20,IFJ,L,stop_as_left_vs_no_signal_slow,0.46445044544008
