iData,ROI,Hemisphere,contrast,mean_activation,z_score,is_outlier,count,BF10,BF01
1,IFG,L,"S[""AS, left""] - S[""SS""]",0.124574958704985,-0.11322000234523738,FALSE,29,0.3360798917087401,2.975482986844803
2,IFG,L,"S[""AS, left""] - S[""SS""]",1.12943041496552,0.7330930366542027,FALSE,29,0.3360798917087401,2.975482986844803
3,IFG,L,"S[""AS, left""] - S[""SS""]",-1.5096834817758,-1.489631125613473,FALSE,29,0.3360798917087401,2.975482986844803
4,IFG,L,"S[""AS, left""] - S[""SS""]",-0.204376143618272,-0.3902704033307001,FALSE,29,0.3360798917087401,2.975482986844803
6,IFG,L,"S[""AS, left""] - S[""SS""]",-1.17988544473281,-1.2118674161695393,FALSE,29,0.3360798917087401,2.975482986844803
7,IFG,L,"S[""AS, left""] - S[""SS""]",0.345611259914362,0.07294200000070171,FALSE,29,0.3360798917087401,2.975482986844803
8,IFG,L,"S[""AS, left""] - S[""SS""]",0.384844038348932,0.10598477420119712,FALSE,29,0.3360798917087401,2.975482986844803
9,IFG,L,"S[""AS, left""] - S[""SS""]",-0.778115573983926,-0.8734873256068023,FALSE,29,0.3360798917087401,2.975482986844803
10,IFG,L,"S[""AS, left""] - S[""SS""]",0.342977366195275,0.070723672395558,FALSE,29,0.3360798917087401,2.975482986844803
11,IFG,L,"S[""AS, left""] - S[""SS""]",0.541941712968625,0.23829615251814568,FALSE,29,0.3360798917087401,2.975482986844803
12,IFG,L,"S[""AS, left""] - S[""SS""]",0.127967327546615,-0.11036286904722947,FALSE,29,0.3360798917087401,2.975482986844803
13,IFG,L,"S[""AS, left""] - S[""SS""]",-0.448895967923678,-0.5962107844215528,FALSE,29,0.3360798917087401,2.975482986844803
14,IFG,L,"S[""AS, left""] - S[""SS""]",-0.67956049912251,-0.790481909857578,FALSE,29,0.3360798917087401,2.975482986844803
15,IFG,L,"S[""AS, left""] - S[""SS""]",-0.282568342840442,-0.45612572345408187,FALSE,29,0.3360798917087401,2.975482986844803
16,IFG,L,"S[""AS, left""] - S[""SS""]",1.2133503825618699,0.8037724188148015,FALSE,29,0.3360798917087401,2.975482986844803
17,IFG,L,"S[""AS, left""] - S[""SS""]",-2.07600380422977,-1.966599499678703,FALSE,29,0.3360798917087401,2.975482986844803
18,IFG,L,"S[""AS, left""] - S[""SS""]",2.31596277081049,1.7324186587523942,FALSE,29,0.3360798917087401,2.975482986844803
