set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,651,0.000,0.000,0.001,  9.07, 6.20,0.000, 32,-21, 52,
,,,,,,0.002,0.007,  6.96, 5.30,0.000, 43,-10, 60,
,,,,,,0.004,0.010,  6.73, 5.18,0.000, 40,  0, 14,
,,0.000,0.000,612,0.000,0.000,0.001,  8.71, 6.06,0.000,-13,-52,-18,
,,,,,,0.000,0.001,  8.48, 5.97,0.000, 18,-52,-21,
,,,,,,0.000,0.001,  7.90, 5.72,0.000,-20,-56,-21,
,,0.000,0.000,599,0.000,0.001,0.004,  7.27, 5.44,0.000,-34,-24, 49,
,,,,,,0.004,0.011,  6.66, 5.15,0.000,-66,-10, 24,
,,,,,,0.005,0.011,  6.61, 5.12,0.000,-44,-24, 24,
,,0.000,0.000,167,0.000,0.007,0.012,  6.50, 5.07,0.000, 22, 28,  7,
,,,,,,0.137,0.064,  5.40, 4.46,0.000, 18, 28, -4,
,,,,,,0.154,0.066,  5.36, 4.43,0.000, 22, 24, 21,
,,0.000,0.000,200,0.000,0.016,0.020,  6.19, 4.90,0.000,-41,  0, 18,
,,,,,,0.149,0.066,  5.37, 4.44,0.000,-24, 10, 32,
,,,,,,0.240,0.092,  5.14, 4.30,0.000,-20, 14, 18,
