set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.001,0.160,73,0.000,0.000,0.004,  7.55, 5.57,0.000, 32,-24,52,
,,,,,,0.008,0.013,  6.44, 5.03,0.000, 40,-21,49,
,,,,,,0.053,0.039,  5.74, 4.66,0.000, 40,-32,63,
,,0.001,0.160,74,0.000,0.001,0.004,  7.27, 5.44,0.000,-34,-24,49,
,,,,,,0.007,0.012,  6.51, 5.07,0.000,-38,-21,56,
,,,,,,0.009,0.020,  6.39, 5.01,0.000,-30,-28,56,
,,0.165,0.160,22,0.018,0.067,0.043,  5.66, 4.61,0.000, 57,  7,18,
,,,,,,0.801,0.288,  4.32, 3.76,0.000, 60, 10,32,
,,0.086,0.160,28,0.009,0.341,0.123,  4.95, 4.18,0.000,-52, 10,32,
,,,,,,0.789,0.288,  4.34, 3.78,0.000,-52,  4,24,
