set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.000,357,0.000,0.000,0.005,  8.15, 5.83,0.000, 32,-21, 49,
,,,,,,0.198,0.262,  5.22, 4.35,0.000, 12,-28, 60,
,,,,,,0.362,0.292,  4.90, 4.15,0.000, -6,-32, 66,
,,0.001,0.001,80,0.000,0.005,0.048,  6.60, 5.11,0.000,-13,-52,-18,
,,0.000,0.000,381,0.000,0.042,0.149,  5.83, 4.71,0.000, 60,-32, -4,
,,,,,,0.090,0.188,  5.55, 4.55,0.000, 43, -4,-14,
,,,,,,0.111,0.195,  5.48, 4.50,0.000, 40,-21, 21,
,,0.000,0.000,272,0.000,0.088,0.188,  5.56, 4.55,0.000,  8, 52, 21,
,,,,,,0.246,0.268,  5.11, 4.28,0.000, 15, 24, 56,
,,,,,,0.295,0.291,  5.02, 4.22,0.000, 15, 35, 52,
,,0.004,0.004,62,0.000,0.124,0.195,  5.44, 4.48,0.000,-38,-56, 28,
,,,,,,0.547,0.345,  4.64, 3.98,0.000,-52,-60, 28,
,,,,,,0.943,0.618,  4.03, 3.56,0.000,-41,-66, 35,
,,0.045,0.039,35,0.005,0.219,0.268,  5.17, 4.32,0.000, 18, 28, -4,
,,,,,,0.900,0.556,  4.13, 3.64,0.000, 22, 35, -7,
,,,,,,0.935,0.599,  4.05, 3.58,0.000, 22, 28,  7,
,,0.001,0.001,82,0.000,0.341,0.292,  4.94, 4.17,0.000, 46,-49, 24,
,,,,,,0.783,0.445,  4.33, 3.77,0.000, 57,-49, 32,
,,,,,,0.975,0.673,  3.90, 3.47,0.000, 40,-63, 14,
,,0.019,0.019,44,0.002,0.441,0.318,  4.78, 4.07,0.000,-10,-42, 28,
,,,,,,0.829,0.505,  4.26, 3.72,0.000, -2,-52, 21,
,,,,,,0.997,0.804,  3.66, 3.29,0.000,-13,-52, 32,
