set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.102,0.234,27,0.011,0.001,0.048,  7.09, 5.36,0.000, 32,-24,49,
,,,,,,0.513,0.345,  4.69, 4.01,0.000, 40,-28,63,
,,0.006,0.019,57,0.001,0.236,0.268,  5.13, 4.30,0.000, 12,-32,60,
,,,,,,0.330,0.292,  4.95, 4.18,0.000,  8,-24,56,
,,,,,,0.362,0.292,  4.90, 4.15,0.000, -6,-32,66,
,,0.005,0.019,59,0.001,0.246,0.268,  5.11, 4.28,0.000, 15, 24,56,
,,,,,,0.295,0.291,  5.02, 4.22,0.000, 15, 35,52,
,,,,,,0.556,0.345,  4.63, 3.97,0.000,  4, 32,56,
,,0.102,0.234,27,0.011,0.546,0.345,  4.64, 3.98,0.000, -6, 32,52,
,,,,,,0.920,0.582,  4.09, 3.60,0.000, -6, 14,66,
