set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.001,97,0.000,0.000,0.000,  9.29, 6.28,0.000,-38,-21, 56,
,,,,,,0.001,0.001,  7.31, 5.46,0.000,-44,-24, 42,
,,,,,,0.047,0.018,  5.79, 4.68,0.000,-38,-38, 63,
,,0.000,0.000,192,0.000,0.000,0.001,  7.73, 5.65,0.000,-24, -7, 56,
,,,,,,0.018,0.008,  6.13, 4.87,0.000, -6, -4, 56,
,,0.002,0.001,64,0.000,0.001,0.001,  7.44, 5.52,0.000,-58,  7, 24,
,,,,,,0.933,0.474,  4.13, 3.63,0.000,-55, -4, 38,
,,0.000,0.001,99,0.000,0.001,0.001,  7.39, 5.50,0.000, 26, -7, 56,
,,0.066,0.028,28,0.006,0.016,0.008,  6.17, 4.89,0.000,-44,  0, 14,
,,,,,,0.608,0.138,  4.63, 3.97,0.000,-34,  0,  7,
,,0.135,0.078,22,0.013,0.249,0.058,  5.17, 4.32,0.000, 12, 14,  4,
,,0.007,0.028,49,0.001,0.469,0.103,  4.81, 4.09,0.000,-13,  7, -7,
,,,,,,0.602,0.130,  4.64, 3.98,0.000,-10, 10,  7,
,,,,,,0.704,0.242,  4.51, 3.89,0.000,-27, -4, -4,
