set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,471,0.000,0.001,0.011,  7.40, 5.50,0.000, 60,-46, 32,
,,,,,,0.016,0.030,  6.17, 4.89,0.000, 57,-10,-10,
,,,,,,0.020,0.030,  6.09, 4.85,0.000, 60,-38,  4,
,,0.000,0.000,120,0.000,0.012,0.030,  6.29, 4.96,0.000, 54, 35,  0,
,,,,,,0.015,0.030,  6.20, 4.91,0.000, 40, 32,-18,
,,,,,,0.381,0.109,  4.94, 4.17,0.000, 43, 35, -4,
,,0.000,0.000,329,0.000,0.020,0.030,  6.09, 4.85,0.000, 15, 32, 56,
,,,,,,0.052,0.048,  5.75, 4.66,0.000, 15, 52, 42,
,,,,,,0.128,0.077,  5.43, 4.47,0.000,  8, 63, 24,
,,0.000,0.000,88,0.000,0.029,0.033,  5.97, 4.78,0.000,-55,-56, 28,
,,0.000,0.000,103,0.000,0.191,0.086,  5.28, 4.39,0.000, -2, 21,-10,
,,,,,,0.214,0.089,  5.24, 4.36,0.000,  1, 38,-18,
,,,,,,0.470,0.131,  4.81, 4.09,0.000,  4, 28,-14,
,,0.000,0.000,90,0.000,0.232,0.090,  5.21, 4.34,0.000,-58,-49,  4,
,,,,,,0.265,0.099,  5.14, 4.30,0.000,-66,-28, -7,
,,0.000,0.000,82,0.000,0.308,0.104,  5.06, 4.25,0.000,-55, 28,  4,
,,,,,,0.371,0.109,  4.95, 4.18,0.000,-52, 24, 10,
,,,,,,0.379,0.109,  4.94, 4.17,0.000,-41, 32, -7,
