set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,4,0.000,0.000,150,0.000,0.000,0.001,  8.40, 5.94,0.000, 26, -7,52,
,,,,,,0.111,0.040,  5.48, 4.50,0.000, 15,-10,74,
,,,,,,0.471,0.142,  4.76, 4.06,0.000, 22, -7,70,
,,0.000,0.000,606,0.000,0.000,0.001,  7.83, 5.70,0.000, 15,-63,60,
,,,,,,0.002,0.004,  6.95, 5.29,0.000, 36,-35,38,
,,,,,,0.005,0.007,  6.61, 5.12,0.000,-13,-63,56,
,,0.000,0.000,101,0.000,0.000,0.001,  7.75, 5.66,0.000,-24, -7,52,
,,0.000,0.000,105,0.000,0.011,0.009,  6.33, 4.98,0.000,-34,-38,42,
,,,,,,0.068,0.031,  5.65, 4.60,0.000,-44,-32,38,
