set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,6,0.000,0.000,1237,0.000,0.000,0.000, 11.17, 6.90,0.000, 15,-18,  7,
,,,,,,0.000,0.000,  8.07, 5.80,0.000,-55,  7, 28,
,,,,,,0.000,0.001,  7.72, 5.65,0.000,-10,-21, 10,
,,0.000,0.000,2609,0.000,0.000,0.000, 10.82, 6.80,0.000, 43,-24, 56,
,,,,,,0.000,0.000,  9.90, 6.49,0.000, 43,-24, 42,
,,,,,,0.000,0.000,  9.87, 6.49,0.000, 26,-10, 52,
,,0.000,0.000,437,0.000,0.000,0.000,  9.90, 6.49,0.000,-16,-49,-21,
,,,,,,0.000,0.000,  9.68, 6.42,0.000,-24,-56,-24,
,,,,,,0.000,0.000,  7.91, 5.73,0.000,-34,-46,-32,
,,0.000,0.000,500,0.000,0.000,0.000,  8.37, 5.92,0.000,-24, -7, 52,
,,,,,,0.042,0.015,  5.83, 4.71,0.000,  4,  0, 49,
,,,,,,0.104,0.027,  5.50, 4.51,0.000, -2, -4, 56,
,,0.002,0.001,64,0.000,0.001,0.001,  7.42, 5.51,0.000, 60,  7, 32,
,,,,,,0.035,0.013,  5.90, 4.74,0.000, 57, 10, 21,
,,0.000,0.000,166,0.000,0.002,0.002,  6.98, 5.30,0.000, 26,-63,-24,
,,,,,,0.005,0.005,  6.60, 5.12,0.000, 36,-52,-28,
,,,,,,0.270,0.058,  5.10, 4.28,0.000, 43,-56,-32,
