set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.001,102,0.000,0.000,0.000,  9.91, 6.50,0.000, 40,-28, 56,
,,,,,,0.000,0.000,  9.90, 6.49,0.000, 43,-24, 42,
,,,,,,0.000,0.000,  8.33, 5.91,0.000, 36,-28, 46,
,,0.000,0.001,144,0.000,0.000,0.000,  9.87, 6.49,0.000, 26,-10, 52,
,,,,,,0.000,0.000,  9.80, 6.46,0.000, 32, -4, 63,
,,0.000,0.000,231,0.000,0.000,0.000,  8.37, 5.92,0.000,-24, -7, 52,
,,,,,,0.042,0.015,  5.83, 4.71,0.000,  4,  0, 49,
,,,,,,0.104,0.027,  5.50, 4.51,0.000, -2, -4, 56,
,,0.002,0.001,68,0.000,0.000,0.000,  8.07, 5.80,0.000,-55,  7, 28,
,,0.019,0.034,41,0.002,0.001,0.001,  7.42, 5.51,0.000, 60,  7, 32,
,,,,,,0.196,0.058,  5.27, 4.38,0.000, 57, 10, 18,
,,0.000,0.001,89,0.000,0.008,0.006,  6.45, 5.04,0.000, 12, 10,  0,
,,,,,,0.113,0.032,  5.47, 4.50,0.000, 15, -4, 18,
,,,,,,0.580,0.133,  4.64, 3.98,0.000, 29, 18,  7,
,,0.000,0.001,107,0.000,0.020,0.010,  6.10, 4.85,0.000,-13, 14,  0,
,,,,,,0.148,0.034,  5.37, 4.44,0.000,-13,  4, 10,
,,,,,,0.276,0.075,  5.09, 4.27,0.000,-13,  7, -7,
,,0.094,0.034,26,0.010,0.342,0.075,  4.98, 4.20,0.000, 32, -4, -4,
,,,,,,0.484,0.112,  4.77, 4.06,0.000, 29,-14,  0,
