set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,921,0.000,0.000,0.000,  9.14, 6.22,0.000,-44,  4, 32,
,,,,,,0.000,0.000,  8.36, 5.92,0.000,-27, -4, 56,
,,,,,,0.000,0.000,  7.64, 5.61,0.000, 22,  4, 63,
,,0.000,0.340,84,0.000,0.001,0.001,  7.25, 5.43,0.000,-38, 24, 21,
,,,,,,0.433,0.069,  4.89, 4.14,0.000,-41, 38, 10,
,,0.004,0.340,52,0.000,0.002,0.001,  6.88, 5.25,0.000,-30, 18, 10,
,,0.025,0.340,35,0.002,0.274,0.044,  5.15, 4.30,0.000, 40,-35, 56,
,,,,,,0.533,0.097,  4.75, 4.05,0.000, 43,-24, 46,
,,,,,,0.989,0.435,  3.90, 3.47,0.000, 46,-18, 49,
,,0.057,0.340,28,0.005,0.371,0.069,  4.98, 4.20,0.000,-38,-21, 56,
,,,,,,0.899,0.288,  4.23, 3.70,0.000,-38,-38, 63,
,,,,,,0.955,0.303,  4.09, 3.60,0.000,-41,-24, 49,
