set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,1324,0.000,0.000,0.000,  9.50, 6.35,0.000, 29,-24, 56,
,,,,,,0.000,0.000,  9.04, 6.19,0.000, 40,-21, 49,
,,,,,,0.000,0.001,  8.24, 5.87,0.000, 29,-24, 66,
,,0.000,0.000,2190,0.000,0.000,0.000,  9.27, 6.27,0.000,-34,-24, 56,
,,,,,,0.000,0.000,  8.67, 6.04,0.000,-44,-21, 56,
,,,,,,0.000,0.001,  8.01, 5.77,0.000,-24,  7, 24,
,,0.035,0.016,32,0.003,0.004,0.006,  6.69, 5.16,0.000, 40,-35,-10,
,,,,,,0.462,0.123,  4.85, 4.12,0.000, 36,-42, -4,
,,,,,,0.998,0.621,  3.72, 3.34,0.000, 50,-38,-10,
,,0.000,0.000,83,0.000,0.393,0.105,  4.95, 4.18,0.000,  4,-28, 56,
,,,,,,0.606,0.166,  4.66, 3.99,0.000,  8,-10, 60,
,,,,,,0.698,0.193,  4.54, 3.92,0.000, -6,-10, 56,
,,0.001,0.001,65,0.000,0.739,0.210,  4.49, 3.88,0.000,  4,-38, 77,
,,,,,,0.745,0.211,  4.48, 3.88,0.000,  4,-24, 77,
,,,,,,0.798,0.232,  4.41, 3.82,0.000, -2,-32, 77,
