set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,104,0.000,0.000,0.000,  9.04, 6.19,0.000, 40,-21, 49,
,,,,,,0.067,0.030,  5.66, 4.61,0.000, 50,-14, 38,
,,,,,,0.853,0.259,  4.32, 3.77,0.000, 26,-32, 70,
,,0.000,0.000,108,0.000,0.000,0.000,  8.91, 6.14,0.000,-38,-24, 56,
,,,,,,0.000,0.002,  7.55, 5.57,0.000,-41,-24, 46,
,,,,,,0.090,0.036,  5.55, 4.55,0.000,-34,-38, 60,
,,0.201,0.120,18,0.019,0.008,0.008,  6.45, 5.04,0.000,-41, -4, 18,
,,0.019,0.016,37,0.002,0.139,0.048,  5.40, 4.45,0.000, 32, -4, -4,
,,,,,,0.849,0.258,  4.33, 3.77,0.000, 29,-14,  4,
,,0.024,0.016,35,0.002,0.173,0.062,  5.32, 4.41,0.000,-30, -4, -4,
,,,,,,0.758,0.219,  4.47, 3.86,0.000,-30,-14,  4,
,,0.155,0.054,20,0.014,0.410,0.107,  4.92, 4.16,0.000,-58,  4, 32,
,,,,,,0.952,0.349,  4.10, 3.61,0.000,-52,  4, 24,
,,0.019,0.016,37,0.002,0.739,0.210,  4.49, 3.88,0.000,  4,-38, 77,
,,,,,,0.798,0.232,  4.41, 3.82,0.000, -2,-32, 77,
