set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.000,1558,0.000,0.000,0.000, 12.83, 7.36,0.000,-34,-80,-14,
,,,,,,0.000,0.000, 12.44, 7.26,0.000,-38,-52,-18,
,,,,,,0.000,0.000, 12.25, 7.21,0.000,-27,-63, 46,
,,0.000,0.000,1571,0.000,0.000,0.000, 12.29, 7.22,0.000, 32,-46,-18,
,,,,,,0.000,0.000, 12.21, 7.20,0.000, 29,-63, 46,
,,,,,,0.000,0.000, 11.97, 7.14,0.000, 40,-60,-18,
,,0.000,0.000,1217,0.000,0.000,0.000, 10.40, 6.66,0.000, 32, 24,  0,
,,,,,,0.000,0.000,  8.79, 6.09,0.000,  8, 10, 49,
,,,,,,0.000,0.000,  8.63, 6.03,0.000, 36,  7, 32,
,,0.000,0.000,607,0.000,0.000,0.000,  8.83, 6.10,0.000,-38,  4, 32,
,,,,,,0.000,0.000,  7.59, 5.59,0.000,-24, -7, 49,
,,,,,,0.001,0.001,  7.30, 5.46,0.000,-41, 24, 24,
,,0.000,0.000,149,0.000,0.000,0.000,  8.80, 6.09,0.000,-30, 24,  7,
,,0.001,0.000,73,0.000,0.005,0.002,  6.63, 5.13,0.000, -6,-28, 28,
,,,,,,0.010,0.003,  6.36, 4.99,0.000,  8,-24, 28,
,,0.043,0.007,31,0.004,0.016,0.004,  6.19, 4.90,0.000, 12,-10, 10,
,,0.002,0.000,63,0.000,0.295,0.040,  5.10, 4.27,0.000, -6,-28, -7,
,,,,,,0.295,0.040,  5.10, 4.27,0.000,  4,-28, -4,
,,,,,,0.589,0.094,  4.67, 4.00,0.000,  8,-28,-18,
