set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.002,0.045,62,0.000,0.000,0.000,  9.55, 6.37,0.000, 54, -4, 10,
,,,,,,0.003,0.002,  6.85, 5.24,0.000, 43, -7, 14,
,,,,,,0.027,0.010,  5.99, 4.80,0.000, 36,  0, 18,
,,0.000,0.000,89,0.000,0.000,0.000,  9.23, 6.26,0.000, 40,-21, 49,
,,,,,,0.000,0.000,  9.06, 6.19,0.000, 36,-24, 56,
,,,,,,0.161,0.034,  5.34, 4.42,0.000, 50,-14, 38,
,,0.019,0.045,38,0.002,0.000,0.000,  8.62, 6.02,0.000,-27, -7, -4,
,,,,,,0.095,0.024,  5.53, 4.54,0.000,-30,-14,  4,
,,0.000,0.000,84,0.000,0.000,0.000,  8.52, 5.98,0.000,-34,-28, 52,
,,,,,,0.001,0.001,  7.30, 5.45,0.000,-48,-21, 49,
,,0.012,0.045,42,0.001,0.001,0.001,  7.43, 5.52,0.000, 29, -7, -4,
,,0.011,0.045,43,0.001,0.001,0.001,  7.38, 5.49,0.000,-41, -4, 18,
,,,,,,0.008,0.004,  6.42, 5.02,0.000,-48, -7, 10,
,,,,,,0.010,0.006,  6.34, 4.98,0.000,-34,  0, 14,
,,0.002,0.045,62,0.000,0.003,0.002,  6.85, 5.24,0.000,-48, 32, -4,
,,,,,,0.299,0.049,  5.09, 4.27,0.000,-55, 24, 14,
,,0.009,0.045,45,0.001,0.224,0.039,  5.23, 4.35,0.000,-13, 38, 52,
,,,,,,0.516,0.085,  4.76, 4.06,0.000,-20, 21, 42,
,,,,,,0.672,0.122,  4.57, 3.93,0.000,-13, 38, 42,
