set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,12,0.000,0.000,174,0.000,0.001,0.003,  7.46, 5.53,0.000,-24,  0, 60,
,,,,,,0.003,0.004,  6.83, 5.23,0.000,-24,-10, 56,
,,,,,,1.000,0.833,  3.51, 3.18,0.001,-44, -4, 46,
,,0.000,0.000,639,0.000,0.001,0.003,  7.32, 5.47,0.000,-30,-46, 38,
,,,,,,0.001,0.003,  7.32, 5.46,0.000,-13,-63, 56,
,,,,,,0.001,0.003,  7.08, 5.35,0.000,-10,-60, 66,
,,0.000,0.000,149,0.000,0.003,0.004,  6.81, 5.22,0.000, -2,-28,-10,
,,,,,,0.477,0.096,  4.87, 4.13,0.000,  4,-18, -4,
,,,,,,0.610,0.124,  4.70, 4.02,0.000,-10,-14,  4,
,,0.001,0.000,65,0.000,0.014,0.009,  6.22, 4.92,0.000, 12,-63, 56,
,,0.001,0.000,64,0.000,0.015,0.009,  6.20, 4.91,0.000, 32, 21,  0,
,,0.000,0.000,71,0.000,0.016,0.009,  6.17, 4.89,0.000,-30, 18,  4,
,,,,,,0.112,0.036,  5.47, 4.50,0.000,-27, 24, -4,
,,0.000,0.000,89,0.000,0.017,0.009,  6.16, 4.89,0.000, 26, -4, 49,
,,0.000,0.000,75,0.000,0.137,0.040,  5.40, 4.46,0.000, 40,-35, 38,
,,,,,,0.925,0.287,  4.22, 3.70,0.000, 32,-52, 49,
,,0.000,0.000,87,0.000,0.296,0.066,  5.12, 4.29,0.000,-13, 10, 38,
,,,,,,0.539,0.110,  4.79, 4.08,0.000,  8, 14, 49,
,,,,,,0.896,0.269,  4.28, 3.74,0.000,-10, 24, 35,
,,0.005,0.001,46,0.000,0.337,0.070,  5.08, 4.26,0.000,-13, 10,  0,
,,,,,,0.931,0.287,  4.20, 3.68,0.000,-10,  4,-10,
,,0.009,0.001,41,0.001,0.378,0.077,  5.01, 4.22,0.000,-48,  0, 35,
,,,,,,0.993,0.461,  3.90, 3.47,0.000,-55,  7, 24,
,,0.021,0.002,34,0.002,0.443,0.091,  4.92, 4.16,0.000, 12, 10, -4,
,,,,,,0.832,0.227,  4.40, 3.82,0.000, 18, 10, 10,
