set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,7,0.000,0.000,122,0.000,0.001,0.003,  7.46, 5.53,0.000,-24,  0, 60,
,,,,,,0.003,0.004,  6.83, 5.23,0.000,-24,-10, 56,
,,,,,,1.000,0.833,  3.51, 3.18,0.001,-44, -4, 46,
,,0.099,0.216,22,0.008,0.015,0.009,  6.20, 4.91,0.000, 32, 21,  0,
,,0.027,0.007,32,0.002,0.016,0.009,  6.17, 4.89,0.000,-30, 18,  4,
,,0.000,0.000,83,0.000,0.017,0.009,  6.16, 4.89,0.000, 26, -4, 49,
,,0.058,0.007,26,0.005,0.378,0.077,  5.01, 4.22,0.000,-48,  0, 35,
,,,,,,0.993,0.461,  3.90, 3.47,0.000,-55,  7, 24,
,,0.051,0.007,27,0.004,0.517,0.110,  4.82, 4.09,0.000,-10, 10,  0,
,,0.034,0.007,30,0.003,0.808,0.227,  4.44, 3.84,0.000,  4, 18, 49,
,,,,,,0.966,0.325,  4.09, 3.60,0.000, -6,  0, 56,
,,,,,,0.992,0.461,  3.91, 3.47,0.000,-10, 18, 46,
