set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.001,3,0.000,0.043,1069,0.000,0.000,0.000, 11.47, 6.99,0.000,-27,  0, 60,
,,,,,,0.000,0.000, 10.77, 6.78,0.000,-41, 24, 24,
,,,,,,0.000,0.000, 10.29, 6.63,0.000,-38,  0, 32,
,,0.000,0.043,157,0.000,0.000,0.000, 10.02, 6.54,0.000,-30, 18,  4,
,,,,,,0.004,0.001,  6.65, 5.14,0.000,-16,  7, -4,
,,,,,,0.032,0.007,  5.93, 4.76,0.000,-13, 10,  7,
,,0.003,0.043,55,0.000,0.018,0.006,  6.13, 4.87,0.000,-38,-32, 52,
,,,,,,0.019,0.006,  6.12, 4.86,0.000,-44,-24, 42,
,,,,,,0.140,0.021,  5.39, 4.45,0.000,-38,-21, 56,
