set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,6,0.000,0.000,5314,0.000,0.000,0.000, 10.90, 6.82,0.000,-10, 63, 14,
,,,,,,0.000,0.000, 10.80, 6.79,0.000, 68,-32,  0,
,,,,,,0.000,0.000, 10.12, 6.57,0.000,  4, 21,-10,
,,0.007,0.002,46,0.001,0.001,0.001,  7.33, 5.47,0.000, 29,-77,-35,
,,0.023,0.006,35,0.002,0.001,0.001,  7.22, 5.42,0.000,-30,-80,-35,
,,,,,,0.098,0.021,  5.52, 4.53,0.000,-41,-77,-35,
,,0.000,0.000,139,0.000,0.020,0.007,  6.11, 4.86,0.000, 54,-60, 28,
,,,,,,0.020,0.007,  6.10, 4.86,0.000, 50,-63, 42,
,,,,,,0.028,0.009,  5.98, 4.79,0.000, 43,-60, 24,
,,0.000,0.000,143,0.000,0.023,0.008,  6.05, 4.83,0.000,  4,-88, 28,
,,,,,,0.035,0.011,  5.90, 4.74,0.000,  8,-91, 21,
,,,,,,0.550,0.091,  4.74, 4.05,0.000,-10,-91, 18,
,,0.000,0.000,120,0.000,0.137,0.027,  5.40, 4.46,0.000,-10,-80,-10,
,,,,,,0.163,0.031,  5.34, 4.42,0.000, 12,-70, -4,
,,,,,,0.349,0.053,  5.03, 4.23,0.000,  8,-80,-10,
