set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,5,0.000,0.000,1596,0.000,0.000,0.000, 10.28, 6.62,0.000, 26, -4, 60,
,,,,,,0.000,0.000, 10.13, 6.57,0.000, 36,-35, 42,
,,,,,,0.000,0.000,  8.57, 6.00,0.000, 12,-63, 60,
,,0.000,0.000,926,0.000,0.000,0.000,  8.87, 6.12,0.000, 32, 24, -4,
,,,,,,0.000,0.000,  8.81, 6.10,0.000, 36, 21,-10,
,,,,,,0.001,0.001,  7.32, 5.47,0.000,-34, 18, -4,
,,0.000,0.000,302,0.000,0.000,0.000,  8.69, 6.05,0.000,-24, -4, 52,
,,,,,,0.006,0.004,  6.54, 5.08,0.000,-48,  0, 35,
,,0.000,0.000,429,0.000,0.000,0.001,  7.55, 5.57,0.000, -2,  7, 49,
,,,,,,0.000,0.001,  7.55, 5.57,0.000,  4,  4, 52,
,,,,,,0.006,0.004,  6.53, 5.08,0.000,-10, 18, 42,
,,0.049,0.013,27,0.004,0.068,0.019,  5.65, 4.60,0.000, 18,-60, 24,
