set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,8,0.000,0.013,186,0.000,0.000,0.000, 10.28, 6.62,0.000, 26, -4, 60,
,,,,,,0.010,0.007,  6.34, 4.98,0.000, 26,  7, 66,
,,,,,,0.089,0.026,  5.56, 4.55,0.000, 18,  4, 70,
,,0.000,0.013,211,0.000,0.000,0.000,  8.69, 6.05,0.000,-24, -4, 52,
,,,,,,0.006,0.004,  6.54, 5.08,0.000,-48,  0, 35,
,,0.004,0.013,47,0.000,0.000,0.000,  8.69, 6.05,0.000, 32, 21,  0,
,,,,,,0.861,0.211,  4.36, 3.79,0.000, 36, 24,  7,
,,0.007,0.013,43,0.001,0.000,0.000,  8.40, 5.94,0.000, 46,-24, 42,
,,,,,,0.001,0.002,  7.07, 5.35,0.000, 40,-32, 49,
,,0.000,0.013,91,0.000,0.000,0.001,  7.55, 5.57,0.000,  4,  4, 52,
,,,,,,0.033,0.014,  5.91, 4.75,0.000,-10, 18, 46,
,,0.007,0.013,43,0.001,0.001,0.001,  7.32, 5.47,0.000,-34, 18, -4,
,,0.000,0.013,70,0.000,0.004,0.004,  6.65, 5.14,0.000, 12, 10,  0,
,,,,,,0.091,0.026,  5.55, 4.54,0.000, 15, 10, 10,
,,,,,,0.228,0.043,  5.22, 4.35,0.000, 12,  0, 14,
,,0.000,0.013,71,0.000,0.018,0.008,  6.13, 4.87,0.000,-13, 10,  4,
,,,,,,0.019,0.008,  6.13, 4.87,0.000,-13,  4, 14,
,,,,,,0.474,0.074,  4.88, 4.13,0.000,-16,  7,-10,
