set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,11,0.000,0.000,1900,0.000,0.000,0.000, 10.58, 6.72,0.000,-38,-21, 21,
,,,,,,0.000,0.000, 10.12, 6.57,0.000,-48,-70, 28,
,,,,,,0.000,0.000,  9.18, 6.24,0.000,-24,-14,-18,
,,0.000,0.000,1218,0.000,0.000,0.000, 10.43, 6.67,0.000, -6, 56, 35,
,,,,,,0.000,0.000,  9.43, 6.33,0.000, -6, 60, 18,
,,,,,,0.000,0.000,  9.22, 6.25,0.000,  4, 21,-10,
,,0.000,0.000,544,0.000,0.000,0.000, 10.01, 6.53,0.000, 64,-14, -4,
,,,,,,0.000,0.000,  9.40, 6.32,0.000, 68,-28,  4,
,,,,,,0.000,0.000,  7.96, 5.75,0.000, 64,-14,-14,
,,0.000,0.000,187,0.000,0.000,0.000,  9.76, 6.45,0.000,-41, 32,-14,
,,,,,,0.000,0.000,  9.71, 6.43,0.000,-52, 28,  7,
,,0.000,0.000,160,0.000,0.000,0.000,  9.07, 6.20,0.000, 26,-10,-18,
,,,,,,0.002,0.001,  7.05, 5.34,0.000, 18,-42, 14,
,,,,,,0.017,0.007,  6.15, 4.88,0.000, 29,-38,  7,
,,0.002,0.000,59,0.000,0.000,0.001,  7.62, 5.60,0.000, 46, 35,-10,
,,0.011,0.002,41,0.001,0.005,0.003,  6.58, 5.11,0.000, 22,-77,-35,
,,0.000,0.000,87,0.000,0.007,0.003,  6.50, 5.07,0.000, 46,-63, 28,
,,,,,,0.209,0.039,  5.25, 4.37,0.000, 50,-66, 38,
,,,,,,0.996,0.506,  3.81, 3.40,0.000, 32,-52, 18,
,,0.006,0.001,46,0.001,0.030,0.010,  5.95, 4.77,0.000, 15,-49,-18,
,,,,,,0.032,0.010,  5.92, 4.76,0.000, 22,-46,-24,
,,0.013,0.002,39,0.001,0.114,0.026,  5.47, 4.50,0.000, -6,-94, 21,
,,0.002,0.001,55,0.000,0.471,0.080,  4.86, 4.12,0.000, 15,-91, 18,
,,,,,,0.555,0.096,  4.75, 4.05,0.000, 12,-88, 24,
,,,,,,0.917,0.249,  4.22, 3.69,0.000, 12,-94, 10,
