set,set,cluster,cluster,cluster,cluster,peak,peak,peak,peak,peak,,,
p,c,p(FWE-corr),p(FDR-corr),equivk,p(unc),p(FWE-corr),p(FDR-corr),T,equivZ,p(unc),x,y,z {mm},
0.000,6,0.001,0.000,68,0.000,0.000,0.000,  9.71, 6.43,0.000,-52, 28,  7,
,,,,,,0.000,0.001,  7.54, 5.57,0.000,-48, 28, -4,
,,0.000,0.000,99,0.000,0.000,0.000,  8.27, 5.88,0.000,-10, 38, 52,
,,,,,,0.205,0.039,  5.26, 4.37,0.000,-20, 28, 42,
,,,,,,0.239,0.042,  5.20, 4.34,0.000,-10, 24, 63,
,,0.001,0.000,60,0.000,0.001,0.001,  7.23, 5.42,0.000,-34,-24, 49,
,,,,,,0.001,0.001,  7.09, 5.36,0.000,-38,-24, 60,
,,,,,,0.002,0.002,  6.89, 5.26,0.000,-30,-28, 56,
,,0.110,0.027,22,0.010,0.015,0.006,  6.21, 4.91,0.000,-27,-10,  0,
,,0.002,0.001,58,0.000,0.389,0.066,  4.97, 4.19,0.000,-16,-35, 66,
,,,,,,0.395,0.070,  4.96, 4.19,0.000, -2,-28, 63,
,,,,,,0.415,0.070,  4.93, 4.17,0.000,-10,-32, 70,
,,0.013,0.002,39,0.001,0.466,0.080,  4.86, 4.12,0.000, 12, 38, 52,
,,,,,,0.493,0.083,  4.83, 4.10,0.000, 22, 28, 52,
